Datetime;Resolution code;Region;Measured & upscaled;Most recent forecast;Day Ahead 11AM Forecast;Day-ahead 6PM forecast;Week-ahead forecast;Monitored capacity;Load factor
2022-06-22T20:00:00+02:00;PT15M;Namur;0.0;13.66;0.0;0.0;0.0;195.15;0.0
2022-06-22T20:00:00+02:00;PT15M;East-Flanders;0.0;88.37;0.0;0.0;0.0;1127.04;0.0
2022-06-22T20:00:00+02:00;PT15M;Wallonia;0.0;98.28;0.0;0.0;0.0;1536.84;0.0
2022-06-22T20:00:00+02:00;PT15M;West-Flanders;0.0;74.55;0.0;0.0;0.0;944.04;0.0
2022-06-22T20:00:00+02:00;PT15M;Belgium;0.0;435.91;0.0;0.0;0.0;6004.92;0.0
2022-06-22T20:00:00+02:00;PT15M;Flanders;0.0;328.34;0.0;0.0;0.0;4339.61;0.0
2022-06-22T20:00:00+02:00;PT15M;Brussels;0.0;9.29;0.0;0.0;0.0;128.47;0.0
2022-06-22T20:00:00+02:00;PT15M;Antwerp;0.0;84.79;0.0;0.0;0.0;1129.31;0.0
2022-06-22T20:00:00+02:00;PT15M;Hainaut;0.0;29.46;0.0;0.0;0.0;431.13;0.0
2022-06-22T20:00:00+02:00;PT15M;Limburg;0.0;43.24;0.0;0.0;0.0;624.64;0.0
2022-06-22T19:45:00+02:00;PT15M;Liège;0.0;45.33;0.0;0.0;0.0;634.93;0.0
2022-06-22T19:45:00+02:00;PT15M;Luxembourg;0.0;11.31;0.0;0.0;0.0;153.14;0.0
2022-06-22T19:45:00+02:00;PT15M;East-Flanders;0.0;106.5;0.0;0.0;0.0;1127.04;0.0
2022-06-22T19:45:00+02:00;PT15M;Namur;0.0;16.2;0.0;0.0;0.0;195.15;0.0
2022-06-22T19:45:00+02:00;PT15M;West-Flanders;0.0;90.32;0.0;0.0;0.0;944.04;0.0
2022-06-22T19:45:00+02:00;PT15M;Belgium;0.0;524.89;0.0;0.0;0.0;6004.92;0.0
2022-06-22T19:45:00+02:00;PT15M;Flanders;0.0;395.49;0.0;0.0;0.0;4339.61;0.0
2022-06-22T19:45:00+02:00;PT15M;Brussels;0.0;11.07;0.0;0.0;0.0;128.47;0.0
2022-06-22T19:45:00+02:00;PT15M;Wallonia;0.0;118.33;0.0;0.0;0.0;1536.84;0.0
2022-06-22T19:45:00+02:00;PT15M;Hainaut;0.0;35.41;0.0;0.0;0.0;431.13;0.0
2022-06-22T19:45:00+02:00;PT15M;Antwerp;0.0;102.44;0.0;0.0;0.0;1129.31;0.0
2022-06-22T19:45:00+02:00;PT15M;Walloon-Brabant;0.0;10.07;0.0;0.0;0.0;122.48;0.0
2022-06-22T19:45:00+02:00;PT15M;Flemish-Brabant;0.0;43.98;0.0;0.0;0.0;514.58;0.0
